"";"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"select_av";"select_all";"select_t10";"TOTALWEIGHT";"BREAKCLASS";"VMAX";"TFZ";"NUM_TFZ";"T10"
"94599";337;52;"G";80;0,903614457831325;1;1;1;0,903614457831325;0;0;0;2500;"G";50;"1116-1";1;631,614261311566
"45245";289;52;"G";90;0,909638554216867;1;1;0,981927710843373;0,903614457831325;1;0;1;2300;"G";40;"1116-1";1;594,56988447154
"86353";242;56;"G";80;0,909638554216867;0,957831325301205;1;1;0,903614457831325;0;0;0;2200;"G";30;"1116-1";1;613,525885265028
"37340";2070;56;"G";90;0,91566265060241;0,957831325301205;1;0,981927710843373;0,903614457831325;0;0;0;2600;"G";70;"145-2";1;652,293548529005
"79526";8570;58;"G";80;0,921686746987952;0,933734939759036;1;1;0,903614457831325;0;0;0;2200;"G";30;"232-2";1;755,712797889311
"29275";3117;58;"G";90;0,933734939759036;0,933734939759036;1;0,981927710843373;0,903614457831325;0;1;0;2900;"G";50;"152-2";1;643,971276674898
"69975";865;52;"P";80;0,975903614457831;1;0,927710843373494;1;0,903614457831325;0;0;0;1500;"G";30;"1293-2";1;993,009419366702
"65872";874;54;"P";80;0,981927710843373;0,987951807228916;0,927710843373494;1;0,903614457831325;0;0;0;1600;"G";40;"1293-2";1;907,048745660469
"20632";866;52;"P";90;0,987951807228916;1;0,927710843373494;0,981927710843373;0,903614457831325;0;0;0;1600;"G";30;"1293-2";1;907,048745660469
"74210";1196;60;"G";80;0,993975903614458;0,903614457831325;1;1;0,903614457831325;0;0;0;2400;"G";30;"140-1";1;733,904222747745
