"";"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"select_av";"select_all";"select_t10";"TFZ";"TOTALWEIGHT";"NUM_TFZ";"VMAX";"T10"
"1915";94;52;"G";80;0,903614457831325;1;1;1;0,903614457831325;0;0;0;"185CL1-1";2984;1;100;662,002218059334
"930";226;52;"G";90;0,909638554216867;1;1;0,981927710843373;0,903614457831325;1;0;0;"185-2";3075;1;90;668,816333078269
"1754";167;56;"G";80;0,909638554216867;0,957831325301205;1;1;0,903614457831325;0;0;0;"232-2";2322;1;80;755,6825161526
"899";966;54;"G";90;0,91566265060241;0,987951807228916;1;0,981927710843373;0,903614457831325;0;0;1;"151-1";5636;2;90;634,702133759974
"748";12;56;"G";90;0,921686746987952;0,957831325301205;1;0,981927710843373;0,903614457831325;0;0;0;"ER 20D-2";1880;1;80;746,259039057994
"1593";206;58;"G";80;0,927710843373494;0,933734939759036;1;1;0,903614457831325;0;0;0;"G1700-2";1688;1;90;762,55635926115
"628";784;58;"G";90;0,939759036144578;0,933734939759036;1;0,981927710843373;0,903614457831325;0;1;0;"250-1";3326;1;90;849,100782178489
"1418";128;52;"P";80;0,975903614457831;1;0,927710843373494;1;0,903614457831325;0;0;0;"9274-1";1980;1;80;1009,21419097202
"1351";429;54;"P";80;0,981927710843373;0,987951807228916;0,927710843373494;1;0,903614457831325;0;0;0;"G1206-3";3674;2;80;845,648234993263
"427";175;52;"P";90;0,987951807228916;1;0,927710843373494;0,981927710843373;0,903614457831325;0;0;0;"G1206-1";2690;1;80;1009,57106628403
"1499";79;60;"G";80;0,993975903614458;0,903614457831325;1;1;0,903614457831325;0;0;0;"G1206-3";2087;1;80;883,367468423894
