"BTS";"NUM_TRAINS";"NUM_NOSYS";"SUM_T10_TRAINS";"SUM_T10_SYS";"MIN_BFQ";"Q25_BFQ";"Q50_BFQ";"Q75_BFQ";"MAX_BFQ";"ANZ_SYS"
"101";14;1;7549,57858899588;11201,9391541923;1;1,12600078557163;1,4310784922634;1,86945504991245;1,9954266511385;2
"103";37;3;21942,0841433219;27249,5813585643;1;1,01373866612248;1,13881695855606;1,43458275258123;1,72854461105173;2
"105";59;5;32655,6681647649;37528,5433899064;1;1,08708261457399;1,14750915169589;1,16577685246653;1,44861204981237;2
"107";31;2;16490,2395434573;20628,146414995;1;1,04120793515331;1,29730445213985;1,3750509273508;1,54216239946728;2
"109A";66;6;36364,3747161757;46888,89131909;1;1,08265104105752;1,35819490350873;1,49527839364693;1,66778203582262;2
"109B";198;15;113718,441533726;142805,356602383;1;1,08488910086201;1,27490300901649;1,41702629093418;1,68016239385567;2
"111";42;3;22285,2007602967;25610,9223312486;1;1,01794631085757;1,13180844580448;1,30586379905631;1,3910675816191;2
"113";84;4;46332,9702276622;53236,9471093954;1;1,10008578258765;1,14903824102093;1,18465579748994;1,40733298801146;2
"115A";25;2;12915,0454239074;14194,754832769;1;1,00764027083816;1,03644818761773;1,13496461143257;1,4679636060086;2
"115B";53;4;26181,1989161858;27674,8558862183;1;1,00889310164451;1,05318375595079;1,10523820713073;1,16529125427306;2
"117";80;8;45478,2704441506;57250,4724152507;1;1,05829568915632;1,312781570229;1,4404959288799;1,59769967791195;2
"119A";54;5;27567,8614568023;30854,8860459659;1;1,04004094126677;1,09150760397442;1,20679551652269;1,31157420629392;2
"11B";26;2;15382,2359092347;20482,5155886938;1;1,09558241242055;1,39126375143192;1,58182533117024;1,87909850054395;2
"121";62;4;31853,7199883883;34548,3332231668;1;1,00880482848396;1,05323436898108;1,15992614208064;1,28964495725341;2
"123";74;2;35951,1883520035;37442,6331573211;1;1,01707524665682;1,03774048473527;1,05923510829491;1,15018968107456;2
