"tfz";"totalmass";"num_tfz";"vmax";"brh";"breakclass";"total_res";"t10";"sta"
"285-2";2400;1;70;64;"G";0,9123;956,469649570973;"1"
"285-2";2400;1;70;52;"G";0,9107;956,469649570973;"101"
"1293-2";1700;1;50;37;"G";0,9459;1468,67315441507;"103"
"285-2";2500;1;60;56;"G";0,9153;983,383650415768;"105"
"285-2";2500;1;60;60;"G";0,9032;983,383650415768;"107"
"285-2";2400;1;70;50;"G";0,9091;956,469649570973;"109A"
"285-2";2500;1;60;53;"G";0,9242;983,383650415768;"109B"
"285-2";2400;1;70;60;"G";0,9153;956,469649570973;"111"
"285-2";2400;1;70;57;"G";0,9048;956,469649570973;"113"
"285-2";2500;1;60;60;"G";0,92;983,383650415768;"115A"
"285-2";2400;1;70;60;"G";0,9811;956,469649570973;"115B"
"285-2";2400;1;70;34;"G";0,9;956,469649570973;"117"
"285-2";2400;1;70;56;"G";0,9074;956,469649570973;"119A"
"G1206-3";1800;1;50;58;"G";0,9231;1214,0693328173;"11B"
"285-2";2400;1;70;60;"G";0,9355;956,469649570973;"121"
"203-1";1000;1;70;65;"G";0,9189;782,31639342372;"123"
"285-2";2400;1;70;66;"G";0,9153;956,469649570973;"125A"
"285-2";2400;1;70;56;"G";0,9065;956,469649570973;"125B"
"285-2";2400;1;70;64;"G";0,9008;956,469649570973;"125C"
"285-2";2400;1;70;56;"G";0,9065;956,469649570973;"127A"
"285-2";2400;1;70;61;"G";0,9041;956,469649570973;"127C"
"285-2";2400;1;70;61;"G";0,9041;956,469649570973;"127D"
"285-2";2400;1;70;65;"G";0,9053;956,469649570973;"127E"
"285-2";2400;1;70;35;"G";0,9118;956,469649570973;"129"
"285-2";2400;1;70;61;"G";0,91;956,469649570973;"129A"
"203-1";1000;1;70;60;"G";0,9036;782,31639342372;"131A"
"203-1";1000;1;70;61;"G";0,9026;782,31639342372;"131B"
"G1206-3";1800;1;50;47;"G";0,9048;1214,0693328173;"133A"
"285-2";2400;1;70;54;"G";0,9057;956,469649570973;"133B"
"203-1";1000;1;70;55;"G";1;782,31639342372;"137"
"285-2";2400;1;70;47;"G";0,9009;956,469649570973;"139A"
"G1206-3";1800;1;50;53;"G";0,9082;1214,0693328173;"139B"
"285-2";2400;1;70;54;"G";0,9057;956,469649570973;"143"
"G1206-4";1900;1;50;55;"P";0,9231;1227,12105151181;"143B"
"285-2";2500;1;60;54;"G";0,92;983,383650415768;"145B"
"285-2";2400;1;70;60;"G";0,9;956,469649570973;"147"
"285-2";2400;1;70;54;"G";0,9091;956,469649570973;"149"
"285-2";2400;1;70;44;"G";0,9412;956,469649570973;"15"
