"tfz";"totalmass";"num_tfz";"vmax";"brh";"breakclass";"total_res";"t10";"sta"
"180-1";1900;1;50;60;"G";0,9123;950,91154106841;"1"
"180-1";1900;1;50;52;"G";0,9107;950,91154106841;"101"
"1293-2";1700;1;50;37;"G";0,9459;1468,67315441507;"103"
"180-1";1900;1;50;52;"G";0,9153;950,91154106841;"105"
"285-2";2300;1;60;60;"G";0,9032;952,523710078477;"107"
"285-2";2400;1;60;50;"G";0,9091;956,469649570973;"109A"
"285-2";2500;1;60;53;"G";0,9242;983,383650415768;"109B"
"180-1";1900;1;50;60;"G";0,904;950,91154106841;"111"
"180-1";1900;1;50;55;"G";0,9286;950,91154106841;"113"
"285-2";2300;1;60;60;"G";0,92;952,523710078477;"115A"
"180-1";1900;1;50;60;"G";0,9811;950,91154106841;"115B"
"285-2";2400;1;60;34;"G";0,9;956,469649570973;"117"
"180-1";1900;1;50;52;"G";0,9074;950,91154106841;"119A"
"G1206-3";1800;1;50;58;"G";0,9231;1214,0693328173;"11B"
"180-1";1900;1;50;60;"G";0,9194;950,91154106841;"121"
"203-1";1000;1;70;65;"G";0,9189;782,31639342372;"123"
"180-1";1900;1;50;64;"G";0,9153;950,91154106841;"125A"
"180-1";1900;1;50;56;"G";0,9037;950,91154106841;"125B"
"180-1";1900;1;50;64;"G";0,9008;950,91154106841;"125C"
"180-1";1900;1;50;56;"G";0,9037;950,91154106841;"127A"
"180-1";1900;1;50;61;"G";0,9041;950,91154106841;"127C"
"180-1";1900;1;50;61;"G";0,9041;950,91154106841;"127D"
"180-1";1900;1;50;64;"G";0,9172;950,91154106841;"127E"
"285-2";2400;1;60;35;"G";0,9118;956,469649570973;"129"
"180-1";1900;1;50;61;"G";0,91;950,91154106841;"129A"
"203-1";1000;1;70;60;"G";0,9036;782,31639342372;"131A"
"203-1";1000;1;70;61;"G";0,9026;782,31639342372;"131B"
"G1206-3";1800;1;50;47;"G";0,9048;1214,0693328173;"133A"
"285-2";2400;1;60;54;"G";0,9057;956,469649570973;"133B"
"203-1";1000;1;70;55;"G";1;782,31639342372;"137"
"180-1";1900;1;50;54;"G";0,9189;950,91154106841;"139A"
"G1206-3";1800;1;50;53;"G";0,9082;1214,0693328173;"139B"
"180-1";1900;1;50;50;"G";0,9245;950,91154106841;"143"
"G1206-4";1900;1;50;55;"P";0,9231;1227,12105151181;"143B"
"285-2";2500;1;60;54;"G";0,92;983,383650415768;"145B"
"285-2";2300;1;60;55;"G";0,9;952,523710078477;"147"
"180-1";1900;1;50;53;"G";0,9091;950,91154106841;"149"
"285-2";2400;1;60;44;"G";0,9412;956,469649570973;"15"
"1293-2";1700;1;50;40;"G";0,9444;1468,67315441507;"151"
"180-1";1900;1;50;64;"G";0,9148;950,91154106841;"153"
"180-1";1900;1;50;64;"G";0,9008;950,91154106841;"155B"
"285-2";2300;1;60;64;"G";0,9241;952,523710078477;"157"
"285-2";2300;1;60;65;"G";0,9059;952,523710078477;"157A"
"285-2";2300;1;60;60;"G";0,9038;952,523710078477;"157B"
"180-1";1900;1;50;54;"G";0,9306;950,91154106841;"161"
"G1206-4";1900;1;50;62;"P";0,9259;1227,12105151181;"163A"
"180-1";1900;1;50;56;"G";0,9012;950,91154106841;"163B"
"180-1";1900;1;50;53;"G";0,9574;950,91154106841;"165"
"180-1";1900;1;50;56;"G";0,9077;950,91154106841;"167"
"180-1";1900;1;50;56;"G";0,9077;950,91154106841;"167A"
"180-1";1900;1;50;65;"G";0,9176;950,91154106841;"169"
"180-1";1900;1;50;54;"G";0,9016;950,91154106841;"17"
"180-1";1900;1;50;65;"G";0,9026;950,91154106841;"171"
"180-1";1900;1;50;65;"G";0,9026;950,91154106841;"171A"
"1293-2";1700;1;50;42;"G";0,9;1468,67315441507;"173A"
"180-1";1900;1;50;65;"G";0,9101;950,91154106841;"173B"
"180-1";1900;1;50;65;"G";0,9246;950,91154106841;"173C"
"180-1";1900;1;50;65;"G";0,9026;950,91154106841;"177A"
"180-1";1900;1;50;65;"G";0,9026;950,91154106841;"177B"
"180-1";1900;1;50;58;"G";0,9;950,91154106841;"181"
"180-1";1900;1;50;58;"G";0,9;950,91154106841;"183"
"G1206-4";1900;1;50;50;"P";0,9524;1227,12105151181;"185"
"180-1";1900;1;50;56;"G";0,9037;950,91154106841;"187A"
"180-1";1900;1;50;56;"G";0,9037;950,91154106841;"187B"
"180-1";1900;1;50;57;"G";0,9231;950,91154106841;"19"
