"BTS";"NUM_TRAINS";"NUM_NOSYS";"SUM_T10_TRAINS";"SUM_T10_SYS";"MIN_BFQ";"Q25_BFQ";"Q50_BFQ";"Q75_BFQ";"MAX_BFQ";"ANZ_SYS"
"101";14;1;7549,57858899588;9014,73617117756;1;1,06622937943467;1,11902356812223;1,16208222402825;1,72988783582759;3
"103";37;3;21942,0841433219;26078,3914654416;1;1,01373866612248;1,11882785247563;1,4170347722627;1,5042168226454;3
"105";59;5;32655,6681647649;37231,4393192606;1;1,11827051233546;1,15817449251411;1,16646418018993;1,2806692180613;2
"107";31;1;16490,2395434573;20166,5330000855;1;1,11842037989245;1,17137642004978;1,312781570229;1,54024025692562;2
"109A";66;6;36364,3747161757;43801,1595155877;1;1,07511561363254;1,18272596302163;1,34850430304225;1,66778203582262;2
"109B";198;15;113718,441533726;137126,628867205;1;1,10810845442178;1,21233092605858;1,312781570229;1,68016239385567;2
"111";42;3;22285,2007602967;24658,7820500202;1;1,07511561363254;1,11982819587501;1,14778857792506;1,27662123042855;2
"113";84;4;46332,9702276622;52968,7082979883;1;1,11313193667553;1,14903824102093;1,18465579748994;1,3684294171579;2
"115A";25;2;12915,0454239074;14194,754832769;1;1,00764027083816;1,03644818761773;1,13496461143257;1,4679636060086;2
"115B";53;4;26181,1989161858;27674,8558862183;1;1,00889310164451;1,05318375595079;1,10523820713073;1,16529125427306;2
"117";80;8;45478,2704441506;53776,7424590276;1;1,07511561363254;1,17137642004978;1,312781570229;1,43491117767104;2
"119A";54;5;27567,8614568023;30854,8860459659;1;1,04004094126677;1,09150760397442;1,20679551652269;1,31157420629392;2
"11B";26;2;15382,2359092347;19781,3625006449;1;1,09267069028799;1,22620667533777;1,40986633280055;1,70093397669575;2
"121";62;4;31853,7199883883;34548,3332231668;1;1,00880482848396;1,05323436898108;1,15992614208064;1,28964495725341;2
"123";74;2;35951,1883520035;37442,6331573211;1;1,01707524665682;1,03774048473527;1,05923510829491;1,15018968107456;2
"125A";59;5;30624,3863131796;34769,3597801186;1;1,00847723928012;1,02894200386692;1,29908457515088;1,55155209844663;2
"125B";40;2;19987,0184183175;21373,5892345396;1;1,00878913605341;1,03565848768446;1,10488264089661;1,26251613323056;2
"125C";38;1;18930,0965926177;20354,4582447854;1;1,00191006770954;1,02894200386692;1,12140988493131;1,29088404361344;2
"127A";25;4;13508,465133317;14708,1207478089;1;1,07511561363254;1,10506257170456;1,12875739975364;1,23425509558282;2
"127C";40;4;19915,5790305623;21340,8988832322;1;1,00573020312862;1,03774048473527;1,13140327551099;1,29088404361344;2
"127D";8;0;3989,60508963252;4417,96299580094;1,00978630356018;1,00978630356018;1,01810058627281;1,23884231418422;1,28204354820136;2
"127E";169;13;84733,7439401672;88832,6081988713;1;1,00877540409711;1,03754042609143;1,08931306562846;1,16939940716404;2
"129A";200;16;99555,385258466;103997,381470816;1;1,00817199141265;1,0209974203648;1,07308114440953;1,17329716128294;2
"129";34;3;19022,2753666031;22395,2135514103;1;1,11154138247439;1,16044757526905;1,24899432583808;1,62642570792894;2
"131A";166;15;80979,0304007449;84853,7903335517;1;1,00781751102966;1,02894200386692;1,08874087349863;1,18825866009492;2
"131B";267;24;131671,658976552;137103,311146933;1;1,00764027083816;1,01912777879367;1,05923510829491;1,17329716128294;2
"133A";147;13;85757,0170670154;107601,394214345;1;1,10784350727052;1,21905012483547;1,46833364998287;1,89299035659841;2
"133B";106;10;59293,1197512098;70610,2783340224;1;1,10810845442178;1,15224335828811;1,27352706540451;1,68016239385567;2
"137";16;0;8118,59069025049;8550,9350851196;1;1;1,01602277592448;1,01602277592448;1,24381616863779;2
"139A";111;9;59746,7550823534;66292,596501129;1;1,00889310164451;1,09530220468768;1,17722620581086;1,42194562894874;2
"139B";98;7;57867,2595871948;75202,8559682768;1;1,1196767965644;1,26172954311124;1,51405303136125;1,73641109498562;2
"143B";39;2;19573,4184414771;21588,5449304376;1;1,04869323839038;1,05859558914565;1,12455459480733;1,60638990561866;3
"143";53;4;28040,3966556472;32819,897517883;1;1,11874803171977;1,17137642004978;1,24986237927816;1,34065135579983;2
"145B";25;1;14386,4328799695;17217,0671411982;1;1,06403765557863;1,1594877032115;1,29324858750863;1,62642570792894;2
"147";40;4;22540,2239819462;26042,8316591915;1;1,03754042609143;1,11471532373494;1,26972684612476;1,52587408565597;2
"149";99;7;53370,3398418444;62569,2085520548;1;1,02894200386692;1,10830185709267;1,29206488386922;1,60615645678973;2
"151";18;0;10851,1669566763;12524,8763936568;1;1;1,07138346032772;1,27148111545876;1,57478727688255;2
"153";176;15;89672,4007803031;97877,7192415374;1;1;1,04356554380123;1,17102129508543;1,29227980532274;2
"155B";83;9;44592,9310240406;49168,3761645951;1;1,08501648252486;1,10980716860815;1,13406760259885;1,27648875331568;2
"157A";85;8;43135,6426494482;47293,4579579532;1;1,00889310164451;1,04075971248974;1,17102129508543;1,29227980532274;2
"157B";104;9;53684,6094796311;58472,5184668803;1;1,00889310164451;1,04410149476938;1,13837959545442;1,29971525567649;2
"157";79;6;40280,972970337;44396,2156496629;1;1,00889310164451;1,06524751586254;1,19321623568982;1,3053898413558;2
"15";17;1;9968,58998946591;12054,9723159621;1;1,17805041498565;1,21417509278928;1,24741890130361;1,41695109834734;2
"161";72;6;39234,4325609415;45901,3215324703;1;1,06608296131289;1,14488995513765;1,24900511439512;1,53344828468998;2
"163A";27;2;13851,0000377395;14711,5358653642;1;1;1,03831437553724;1,08393523410246;1,60817913127564;3
"163B";78;7;39079,7584679495;40988,4128797378;1;1;1,05297188754259;1,08971635997335;1,18825866009492;2
"165";47;2;25033,5133898677;29164,7540678228;1;1,08948193864406;1,12736641656825;1,2127349333757;1,53344828468998;2
"167A";25;3;13582,9006378221;14843,9675518707;1;1;1,09858589452661;1,14190847965836;1,29237837710154;2
"167";40;3;20774,7859292599;22568,968720434;1;1;1,05166830153215;1,14862454751997;1,27496437909893;2
"169";182;18;93132,4246789217;100679,5717504;1;1,00877540409711;1,03785046947488;1,14778476498813;1,29951216803809;2
"171A";1;0;592,84316948591;635,143803942809;1,0713521494961;1,0713521494961;1,0713521494961;1,0713521494961;1,0713521494961;1
"171";10;1;5365,79944494219;5825,93035646316;1;1,06343751232804;1,07323388156432;1,10440771611824;1,25373193279942;2
"173A";20;1;12426,2846167409;15424,7813825738;1;1,10014668522257;1,17311690043007;1,48011345844702;1,59646906843152;3
