"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TFZ";"TOTALWEIGHT";"NUM_TFZ";"VMAX";"T10"
12;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;"ER 20D-2";1880;1;80;746,259039057994
14;62;"G";100;1;0,94392523364486;1;0,97196261682243;0,91588785046729;"211-1";2241;2;80;883,736961496171
32;62;"G";100;0,981308411214953;0,94392523364486;1;0,97196261682243;0,91588785046729;"295-1";1279;1;80;889,006873563089
57;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;"264-1";3456;1;80;765,887583017809
79;62;"G";100;1;0,94392523364486;1;0,97196261682243;0,91588785046729;"G1206-3";2087;1;80;883,367468423894
102;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;"G1206-1";2090;1;80;863,229807604932
128;62;"G";100;1;0,94392523364486;1;0,97196261682243;0,91588785046729;"9274-1";1980;1;80;1021,11895287679
164;62;"G";100;1;0,94392523364486;1;0,97196261682243;0,91588785046729;"294-3";1480;1;80;881,272152419471
167;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;"232-2";2322;1;80;755,6825161526
174;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;"260-2";1484;1;90;762,242940439577
175;62;"G";100;1;0,94392523364486;1;0,97196261682243;0,91588785046729;"G1206-1";2690;1;80;1021,47582818879
177;62;"G";100;1;0,94392523364486;1;0,97196261682243;0,91588785046729;"G1206-1";2590;1;80;1016,52311609825
181;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;"DH1004-1";1072;1;90;779,181259904269
184;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;"G1206-3";1687;1;80;848,741788622444
206;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;"G1700-2";1688;1;90;762,55635926115
266;62;"G";100;0,981308411214953;0,94392523364486;1;0,97196261682243;0,91588785046729;"294-3";1380;1;80;867,193864633555
283;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;"ER 20D-2";1970;1;90;753,487189198305
292;62;"G";100;0,981308411214953;0,94392523364486;1;0,97196261682243;0,91588785046729;"294-1";1279;1;80;891,689169221388
394;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;"ER 20D-2";1580;1;90;679,680272653386
415;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;"232-2";2422;1;90;763,52993209362
417;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;"G1206-1";4100;2;80;859,556734209813
420;62;"G";100;1;0,94392523364486;1;0,97196261682243;0,91588785046729;"DE1002-1";3990;1;80;1155,78017715167
427;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;"G1206-3";1387;1;80;749,114112518104
429;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;"G1206-3";3674;2;80;860,529187374215
430;62;"G";100;1;0,94392523364486;1;0,97196261682243;0,91588785046729;"G1206-3";2187;1;80;893,736394836174
432;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;"203-1";1868;1;90;876,915924242969
444;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;"203-1";1668;1;80;792,24707215649
446;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;"203-1";1368;1;90;752,817898354465
460;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;"G1700-1";1687;1;90;844,640229594921
463;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;"66-1";3526;1;100;866,352778635464
470;62;"G";100;0,981308411214953;0,94392523364486;1;0,97196261682243;0,91588785046729;"66-2";3726;1;90;876,356908242111
481;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;"203-1";1267;1;80;741,679472634862
503;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;"G1206-4";1887;1;60;865,712512650703
533;62;"G";100;1;0,94392523364486;1;0,97196261682243;0,91588785046729;"261-1";1480;1;80;881,837246282889
558;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;"225-1";1428;1;80;782,908512801698
561;62;"G";100;1;0,94392523364486;1;0,97196261682243;0,91588785046729;"G1700-1";2087;1;80;859,519887004114
620;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;"203-1";1268;1;80;741,785959688446
628;62;"G";100;0,981308411214953;0,94392523364486;1;0,97196261682243;0,91588785046729;"294-1";1329;1;80;903,290386568296
639;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;"D 75BB-1";1066;1;80;873,169327005145
647;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;"G1206-3";1487;1;100;761,720826760884
649;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;"G1206-3";1887;1;100;864,941777996404
676;62;"G";100;1;0,94392523364486;1;0,97196261682243;0,91588785046729;"1293-2";1680;1;65;921,334459946183
703;62;"G";100;0,981308411214953;0,94392523364486;1;0,97196261682243;0,91588785046729;"294-3";1370;1;80;865,891804639891
711;62;"G";100;1;0,94392523364486;1;0,97196261682243;0,91588785046729;"294-1";1764;1;40;1056,52845475141
712;62;"G";100;1;0,94392523364486;1;0,97196261682243;0,91588785046729;"294-2";1789;1;40;850,482585930078
723;62;"G";100;1;0,94392523364486;1;0,97196261682243;0,91588785046729;"363-1";2376;2;60;1103,09711723805
758;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;"203-1";1598;1;100;781,902042638094
772;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;"232-2";2072;1;90;738,144435372518
779;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;"250-1";3476;1;90;855,123388143463
780;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;"246-1";1882;1;90;749,605677110588
784;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;"250-1";3326;1;90;849,100782178489
872;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;"232-2";2762;1;100;852,467786771253
880;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;"232-2";2087;1;80;739,128523206448
883;62;"G";100;0,981308411214953;0,94392523364486;1;0,97196261682243;0,91588785046729;"66-1";3726;1;90;876,356908242111
